dgp,alpha,N,R,method,quantity,nominal,coverage,acd,rcd,mc_se,ci95_lo,ci95_hi,ci_method,repetitions
beta_strictly_uniform_support_probs,0.05,1000,225,fkrb,mean_2,0.9500,0.952000,+0.002000,+0.002105,0.013547,0.917988,0.972332,wilson,250
beta_strictly_uniform_support_probs,0.05,1000,225,cp_wald,theta,0.9500,1.000000,+0.050000,+0.052632,0.000000,1.000000,1.000000,bootstrap,250
beta_strictly_uniform_support_probs,0.05,1000,225,cp_wald,mean_1,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_strictly_uniform_support_probs,0.05,1000,225,cp_wald,mean_2,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_strictly_uniform_support_probs,0.05,1000,225,qlr,theta,0.9500,1.000000,+0.050000,+0.052632,0.000000,1.000000,1.000000,bootstrap,250
beta_strictly_uniform_support_probs,0.05,1000,225,qlr,mean_1,0.9500,0.988000,+0.038000,+0.040000,0.006900,0.965319,0.995911,wilson,250
beta_strictly_uniform_support_probs,0.05,1000,225,qlr,mean_2,0.9500,0.996000,+0.046000,+0.048421,0.004000,0.977694,0.999294,wilson,250
beta_strictly_uniform_support_probs,0.5,1000,225,fkrb,theta,0.5000,0.451520,-0.048480,-0.096960,0.004580,0.442489,0.460428,bootstrap,250
beta_strictly_uniform_support_probs,0.5,1000,225,fkrb,mean_1,0.5000,0.460000,-0.040000,-0.080000,0.031585,0.399291,0.521920,wilson,250
beta_strictly_uniform_support_probs,0.5,1000,225,fkrb,mean_2,0.5000,0.520000,+0.020000,+0.040000,0.031661,0.458237,0.581158,wilson,250
beta_strictly_uniform_support_probs,0.5,1000,225,cp_wald,theta,0.5000,1.000000,+0.500000,+1.000000,0.000000,1.000000,1.000000,bootstrap,250
beta_strictly_uniform_support_probs,0.5,1000,225,cp_wald,mean_1,0.5000,1.000000,+0.500000,+1.000000,0.000000,0.984867,1.000000,wilson,250
beta_strictly_uniform_support_probs,0.5,1000,225,cp_wald,mean_2,0.5000,1.000000,+0.500000,+1.000000,0.000000,0.984867,1.000000,wilson,250
